Kingdom, PhyName, ClaName, OrdName, FamName, Genname, Spcname, SpcInfraepithet, Spcrecid, SpcStatus
Animalia, CHORDATA, AVES, APODIFORMES, TROCHILIDAE, Abeillia, abeillei, NULL, 39649, A
Animalia, CNIDARIA, ANTHOZOA, ANTIPATHARIA, SCHIZOPATHIDAE, Abyssopathes, lyra, NULL, 2628, A
Animalia, CNIDARIA, ANTHOZOA, ANTIPATHARIA, SCHIZOPATHIDAE, Abyssopathes, lyriformis, NULL, 87878, A
Animalia, CNIDARIA, ANTHOZOA, SCLERACTINIA, MUSSIDAE, Acanthastrea, amakusensis, NULL, 29629, A
Animalia, CNIDARIA, ANTHOZOA, SCLERACTINIA, MUSSIDAE, Acanthastrea, bowerbanki, NULL, 29631, A
Animalia, CNIDARIA, ANTHOZOA, SCLERACTINIA, MUSSIDAE, Acanthastrea, brevis, NULL, 42322, A
Animalia, CNIDARIA, ANTHOZOA, SCLERACTINIA, MUSSIDAE, Acanthastrea, echinata, NULL, 29632, A
Animalia, CNIDARIA, ANTHOZOA, SCLERACTINIA, MUSSIDAE, Acanthastrea, echinata, NULL, 29632, A
Animalia, CNIDARIA, ANTHOZOA, SCLERACTINIA, MUSSIDAE, Acanthastrea, echinata, NULL, 29632, A
Animalia, CNIDARIA, ANTHOZOA, SCLERACTINIA, MUSSIDAE, Acanthastrea, echinata, NULL, 29632, A
Animalia, CNIDARIA, ANTHOZOA, SCLERACTINIA, MUSSIDAE, Acanthastrea, faviaformis, NULL, 42327, A
Animalia, CNIDARIA, ANTHOZOA, SCLERACTINIA, MUSSIDAE, Acanthastrea, hemprichii, NULL, 29633, A
Animalia, CNIDARIA, ANTHOZOA, SCLERACTINIA, MUSSIDAE, Acanthastrea, hillae, NULL, 29634, A
Animalia, CNIDARIA, ANTHOZOA, SCLERACTINIA, MUSSIDAE, Acanthastrea, ishigakiensis, NULL, 29635, A
Animalia, CNIDARIA, ANTHOZOA, SCLERACTINIA, MUSSIDAE, Acanthastrea, lordhowensis, NULL, 29636, A
Animalia, CNIDARIA, ANTHOZOA, SCLERACTINIA, MUSSIDAE, Acanthastrea, maxima, NULL, 54, A
Animalia, CNIDARIA, ANTHOZOA, SCLERACTINIA, MUSSIDAE, Acanthastrea, minuta, NULL, 55, A
Animalia, CNIDARIA, ANTHOZOA, SCLERACTINIA, MUSSIDAE, Acanthastrea, regularis, NULL, 42326, A
Animalia, CNIDARIA, ANTHOZOA, SCLERACTINIA, MUSSIDAE, Acanthastrea, rotundoflora, NULL, 56, A
Animalia, CNIDARIA, ANTHOZOA, SCLERACTINIA, MUSSIDAE, Acanthastrea, spp., NULL, 90849, H
