start_date,end_date,taxon_name,taxon_concept_id,rank,iso_code2,notes,Internal Notes 
12/06/2013,20/05/2015,Platysternidae,531,FAMILY,CA, ,
09/07/1975,11/08/1978,Eubalaena,923,GENUS,CA, ,
28/06/1979,29/10/1982,Sousa,1286,GENUS,CA, ,
28/06/1979,17/02/1981,Sousa,1286,GENUS,ZA, ,
01/08/1985,06/01/1989,Pygathrix,1718,GENUS,AT, ,
01/08/1985,06/01/1989,Rhinopithecus,1836,GENUS,AT, ,
18/03/1991,,Acinonyx,1929,GENUS,NA, ,
31/10/1976,07/03/1978,Python,2425,GENUS,GB,On behalf of HK. ,
29/07/1983,06/01/1989,Berardius,2499,GENUS,AT, ,
29/07/1983,26/04/1995,Berardius,2499,GENUS,RU,Original reservation as USSR. ,
29/07/1983,06/01/1989,Hyperoodon,2683,GENUS,AT, ,
29/07/1983,26/04/1995,Hyperoodon,2683,GENUS,RU,Original reservation as USSR. ,
28/06/1979,29/10/1982,Sotalia,2686,GENUS,CA, ,
28/06/1979,17/02/1981,Sotalia,2686,GENUS,ZA, ,
09/07/1975,11/08/1978,Megaptera novaeangliae,3052,SPECIES,CA, ,
02/04/2000,,Megaptera novaeangliae,3052,SPECIES,IS, ,
28/02/1989,,Megaptera novaeangliae,3052,SPECIES,VC, ,
15/07/2004,,Pteropus pelewensis,3198,SPECIES,PW,Reservation entered under Pteropus mariannus. ,
31/10/1976,03/07/1978,Nilssonia nigricans,3239,SPECIES,GB,On behalf of HK. Reservation entered under Aspideretes spp. ,
29/07/1983,06/01/1989,Equus africanus,3255,SPECIES,AT, ,
15/07/2004,,Pteropus pilosus,3370,SPECIES,PW, ,
01/08/1985,06/01/1989,Pygathrix cinerea,3404,SPECIES,AT, ,
26/11/2019,02/12/2020,Vicugna vicugna,3436,SPECIES,CA,,
29/07/1983,06/01/1989,Acipenser sturio,3464,SPECIES,AT, ,
15/07/2004,,Dugong dugon,3515,SPECIES,PW, ,
29/07/1983,06/01/1989,Ognorhynchus icterotis,3587,SPECIES,AT, ,
12/06/2013,20/05/2015,Pristis microdon,3592,SPECIES,CA, ,
15/07/2004,,Pteropus loochoensis,3627,SPECIES,PW,Reservation entered under Pteropus mariannus. ,
13/02/2003,12/06/2014,Amazona auropalliata,3721,SPECIES,CH, ,
13/02/2003,12/06/2014,Amazona auropalliata,3721,SPECIES,LI, ,
13/02/2003,,Amazona auropalliata,3721,SPECIES,PH, ,
10/06/1996,,Harpia harpyja,3792,SPECIES,SA, ,
26/11/2019,02/12/2020,Mauremys annamensis,3838,SPECIES,CA,,
01/08/1985,06/01/1989,Rhinopithecus roxellana,3851,SPECIES,AT, ,
10/06/1996,,Falco punctatus,3922,SPECIES,SA, ,
26/11/2019,02/12/2020,Balearica pavonina,3929,SPECIES,CA,,
29/07/1983,06/01/1989,Hyperoodon planifrons,3957,SPECIES,AT, ,
29/07/1983,26/04/1995,Hyperoodon planifrons,3957,SPECIES,RU,Original reservation as USSR. ,
04/02/1977,27/08/1981,Balaenoptera borealis,3975,SPECIES,AU, ,
04/02/1977,29/10/1982,Balaenoptera borealis,3975,SPECIES,CA, ,
02/04/2000,,Balaenoptera borealis,3975,SPECIES,IS, ,
06/06/1981,,Balaenoptera borealis,3975,SPECIES,JP,"Reservation not applicable to stocks in (A) North Pacific and (B) area 0° longitude to 70°E longitude, from the equator to the Antarctic continent. ",
06/06/1981,,Balaenoptera borealis,3975,SPECIES,NO,"Reservation not applicable to stocks in (A) North Pacific and (B) area 0° longitude to 70°E longitude, from the equator to the Antarctic continent. ",
04/02/1977,26/04/1995,Balaenoptera borealis,3975,SPECIES,RU,Original reservation as USSR. ,
04/02/1977,17/02/1981,Balaenoptera borealis,3975,SPECIES,ZA, ,
15/02/1981,,Dermochelys coriacea,4062,SPECIES,SR, ,
12/06/2013,20/05/2015,Trichechus senegalensis,4306,SPECIES,CA, ,
29/07/1983,,Balaenoptera omurai,4329,SPECIES,JP, ,
28/06/1979,12/06/2014,Canis lupus,4442,SPECIES,CH, ,
02/10/2000,,Canis lupus,4442,SPECIES,MK, ,
29/07/1983,06/01/1989,Addax nasomaculatus,4464,SPECIES,AT, ,
10/06/1996,,Vultur gryphus,4494,SPECIES,SA, ,
18/01/1990,18/09/1997,Loxodonta africana,4521,SPECIES,BW, ,
18/01/1990,11/01/1991,Loxodonta africana,4521,SPECIES,CN, ,
18/01/1990,18/07/1990,Loxodonta africana,4521,SPECIES,GB,On behalf of HK. ,
18/01/1990,,Loxodonta africana,4521,SPECIES,MW, ,
18/03/1991,18/09/1997,Loxodonta africana,4521,SPECIES,NA, ,
18/01/1990,06/09/2000,Loxodonta africana,4521,SPECIES,ZA, ,
18/01/1990,20/03/1997,Loxodonta africana,4521,SPECIES,ZM, ,
18/01/1990,17/09/1997,Loxodonta africana,4521,SPECIES,ZW, ,
31/10/1976,07/03/1978,Varanus bengalensis,4626,SPECIES,GB,On behalf of HK. ,
04/11/1980,31/01/1992,Varanus bengalensis,4626,SPECIES,JP, ,
21/04/1983,17/08/1987,Varanus bengalensis,4626,SPECIES,TH, ,
31/10/1976,07/03/1978,Varanus flavescens,4634,SPECIES,GB,On behalf of HK. ,
04/11/1980,31/01/1992,Varanus flavescens,4634,SPECIES,JP, ,
28/06/1979,12/06/2014,Caracal caracal,4645,SPECIES,CH, ,
01/08/1985,06/01/1989,Ara macao,4650,SPECIES,AT, ,
01/08/1985,12/06/2014,Ara macao,4650,SPECIES,CH, ,
01/08/1985,12/06/2014,Ara macao,4650,SPECIES,LI, ,
01/08/1985,,Ara macao,4650,SPECIES,SR, ,
29/07/1983,06/01/1989,Hyperoodon ampullatus,4979,SPECIES,AT, ,
02/04/2000,,Hyperoodon ampullatus,4979,SPECIES,IS, ,
29/07/1983,26/04/1995,Hyperoodon ampullatus,4979,SPECIES,RU,Original reservation as USSR. ,
29/07/1983,06/01/1989,Oreonax flavicauda,4996,SPECIES,AT, ,
23/06/2010,09/10/2013,Neurergus kaiseri,5003,SPECIES,CA, ,
31/10/1976,03/07/1978,Lepidochelys kempii,5004,SPECIES,GB,On behalf of HK. ,
01/08/1985,06/01/1989,Pygathrix nigripes,5093,SPECIES,AT, ,
09/07/1975,29/10/1982,Coregonus alpenae,5102,SPECIES,CA, ,
09/07/1975,29/10/1982,Eschrichtius robustus,5138,SPECIES,CA, ,
26/11/2019,02/12/2020,Aonyx cinerea,5252,SPECIES,CA,,
27/04/1982,06/01/1989,Crocodylus cataphractus,5306,SPECIES,AT, ,
09/08/1978,10/12/1984,Crocodylus cataphractus,5306,SPECIES,FR, ,
31/10/1976,03/07/1978,Crocodylus cataphractus,5306,SPECIES,GB,On behalf of HK. ,
31/12/1979,01/01/1984,Crocodylus cataphractus,5306,SPECIES,IT, ,
22/02/1981,26/08/1987,Crocodylus cataphractus,5306,SPECIES,ZM, ,
29/07/1983,06/01/1989,Moschus moschiferus,5311,SPECIES,AT, ,
16/02/1979,01/01/1980,Moschus moschiferus,5311,SPECIES,DK, ,
04/11/1980,01/04/1989,Moschus moschiferus,5311,SPECIES,JP, ,
31/10/1976,03/07/1978,Caiman latirostris,5390,SPECIES,GB,On behalf of HK. ,
31/12/1979,01/01/1984,Caiman latirostris,5390,SPECIES,IT, ,
26/11/2019,02/12/2020,Malacochersus tornieri,5628,SPECIES,CA,,
31/10/1976,03/07/1978,Elephas maximus,5690,SPECIES,GB,On behalf of HK. ,
09/07/1975,15/04/1977,Acipenser brevirostrum,5777,SPECIES,CA, ,
15/07/2004,,Pteropus ualanus,5781,SPECIES,PW,Reservation entered under Pteropus mariannus. ,
13/02/2003,,Primolius couloni,5863,SPECIES,PH, ,
31/10/1976,04/02/1977,Python reticulatus,5959,SPECIES,GB,On behalf of HK. ,End date given as date of downlisting to App II
09/07/1975,28/06/1979,Acipenser oxyrinchus,6004,SPECIES,CA, ,
01/08/1985,06/01/1989,Jabiru mycteria,6057,SPECIES,AT, ,
31/10/1976,03/07/1978,Pseudemydura umbrina,6060,SPECIES,GB,On behalf of HK. ,
31/10/1976,03/07/1978,Nilssonia gangetica,6115,SPECIES,GB,On behalf of HK. Reservation entered under Aspideretes spp. ,
15/07/2004,,Falco peregrinus,6244,SPECIES,PW, ,
10/06/1996,,Falco peregrinus,6244,SPECIES,SA, ,
28/06/1979,12/06/2014,Chlamydotis undulata,6280,SPECIES,CH, ,
12/06/2013,20/05/2015,Chitra chitra,6337,SPECIES,CA, ,
12/06/2013,20/05/2015,Geochelone platynota,6341,SPECIES,CA, ,
29/07/1983,06/01/1989,Balaenoptera edeni,6352,SPECIES,AT, ,
29/07/1983,07/05/1991,Balaenoptera edeni,6352,SPECIES,BR, ,
29/07/1983,,Balaenoptera edeni,6352,SPECIES,JP, ,
29/07/1983,24/10/2001,Balaenoptera edeni,6352,SPECIES,PE, ,
29/07/1983,26/04/1995,Balaenoptera edeni,6352,SPECIES,RU,Original reservation as USSR. ,
28/06/1979,06/06/1981,Crocodylus acutus,6436,SPECIES,CH, ,
26/11/2019,02/12/2020,Crocodylus acutus,6436,SPECIES,CA,,
02/04/2000,,Balaenoptera bonaerensis,6477,SPECIES,IS,Reservation entered under Balaenoptera acutorostrata. ,
19/07/2000,,Balaenoptera bonaerensis,6477,SPECIES,JP, ,
01/01/1986,,Balaenoptera bonaerensis,6477,SPECIES,NO,Reservation entered under Balaenoptera acutorostrata. ,
31/10/1976,03/07/1978,Alligator sinensis,6693,SPECIES,GB,On behalf of HK. ,
31/10/1976,03/07/1978,Terrapene coahuila,6708,SPECIES,GB,On behalf of HK. ,
10/06/1996,,Aquila heliaca,6741,SPECIES,SA, ,
29/07/1983,06/01/1989,Ara glaucogularis,6768,SPECIES,AT, ,
31/10/1976,03/07/1978,Alligator mississippiensis,6810,SPECIES,GB,On behalf of HK. ,
29/07/1983,06/01/1989,Ara rubrogenys,6826,SPECIES,AT, ,
22/10/1987,12/06/2014,Dyscophus antongilii,6833,SPECIES,CH, ,
22/10/1987,12/06/2014,Dyscophus antongilii,6833,SPECIES,LI, ,
22/10/1987,05/04/2001,Vipera ursinii,6926,SPECIES,CH, ,
22/10/1987,05/04/2001,Vipera ursinii,6926,SPECIES,LI, ,
04/11/1980,31/01/1992,Lepidochelys olivacea,6938,SPECIES,JP, ,
31/10/1976,03/07/1978,Astrochelys radiata,6950,SPECIES,GB,On behalf of HK. ,
31/10/1976,07/03/1978,Tomistoma schlegelii,7061,SPECIES,GB,On behalf of HK. ,
29/07/1983,06/01/1989,Epicrates monensis,7074,SPECIES,AT, ,
31/10/1976,07/03/1978,Varanus komodoensis,7119,SPECIES,GB,On behalf of HK. ,
26/11/2019,02/12/2020,Lutrogale perspicillata,7181,SPECIES,CA,,
19/07/1990,,Eretmochelys imbricata,7257,SPECIES,CU, ,
09/08/1978,10/12/1984,Eretmochelys imbricata,7257,SPECIES,FR, ,
04/11/1980,29/07/1994,Eretmochelys imbricata,7257,SPECIES,JP, ,
15/07/2004,,Eretmochelys imbricata,7257,SPECIES,PW, ,
28/02/1989,,Eretmochelys imbricata,7257,SPECIES,VC, ,
28/06/1979,12/06/2014,Caloenas nicobarica,7286,SPECIES,CH, ,
15/07/2004,,Caloenas nicobarica,7286,SPECIES,PW, ,
09/08/1978,10/12/1984,Osteolaemus tetraspis,7296,SPECIES,FR, ,
31/10/1976,07/03/1978,Osteolaemus tetraspis,7296,SPECIES,GB,On behalf of HK. ,
29/07/1983,06/01/1989,Numenius tenuirostris,7401,SPECIES,AT, ,
10/06/1996,,Falco araeus,7466,SPECIES,SA, ,
31/10/1976,03/07/1978,Nilssonia hurum,7674,SPECIES,GB,On behalf of HK. Reservation entered under Aspideretes spp. ,
23/06/2010,09/10/2013,Crocodylus moreletii,7747,SPECIES,CA, ,
31/10/1976,03/07/1978,Crocodylus moreletii,7747,SPECIES,GB,On behalf of HK. ,
01/08/1985,06/01/1989,Falco rusticolus,7821,SPECIES,AT, ,
10/06/1996,,Falco rusticolus,7821,SPECIES,SA, ,
29/07/1983,06/01/1989,Berardius arnuxii,7840,SPECIES,AT, ,
29/07/1983,26/04/1995,Berardius arnuxii,7840,SPECIES,RU,Original reservation as USSR. ,
09/07/1975,11/08/1978,Balaena mysticetus,7903,SPECIES,CA, ,
15/07/2004,,Pteropus yapensis,7938,SPECIES,PW,Reservation entered under Pteropus mariannus. ,
31/10/1976,03/07/1978,Pangshura tecta,8019,SPECIES,GB,On behalf of HK. ,
31/10/1976,03/07/1978,Morenia ocellata,8223,SPECIES,GB,On behalf of HK. ,
01/01/1986,06/01/1989,Balaenoptera acutorostrata,8288,SPECIES,AT, ,
01/01/1986,07/05/1991,Balaenoptera acutorostrata,8288,SPECIES,BR, ,
02/04/2000,,Balaenoptera acutorostrata,8288,SPECIES,IS,Except stock of west Greenland. ,
01/01/1986,,Balaenoptera acutorostrata,8288,SPECIES,JP,Except stock of west Greenland. ,
01/01/1986,,Balaenoptera acutorostrata,8288,SPECIES,NO,Except stock of west Greenland. ,
01/01/1986,24/10/2001,Balaenoptera acutorostrata,8288,SPECIES,PE,Except stock of west Greenland. ,
15/07/2004,,Balaenoptera acutorostrata,8288,SPECIES,PW, ,
01/01/1986,26/04/1995,Balaenoptera acutorostrata,8288,SPECIES,RU,Original reservation as USSR. ,
15/07/2004,,Pteropus mariannus,8325,SPECIES,PW, ,
01/08/1985,06/01/1989,Pygathrix nemaeus,8352,SPECIES,AT, ,
12/06/2013,20/05/2015,Platysternon megacephalum,8391,SPECIES,CA, ,
31/10/1976,07/03/1978,Python bivittatus,8396,SPECIES,GB,On behalf of HK. ,
27/04/1982,06/01/1989,Crocodylus porosus,8560,SPECIES,AT, ,
28/06/1979,01/01/1983,Crocodylus porosus,8560,SPECIES,CH, ,
28/06/1979,02/07/1982,Crocodylus porosus,8560,SPECIES,DE, ,
28/06/1979,10/12/1984,Crocodylus porosus,8560,SPECIES,FR, ,
31/12/1979,01/01/1984,Crocodylus porosus,8560,SPECIES,IT, ,
04/11/1980,30/11/1989,Crocodylus porosus,8560,SPECIES,JP, ,
15/07/2004,,Crocodylus porosus,8560,SPECIES,PW, ,"Current = false, but reservation is still in place according to CITES current suspensions list. May not have carried over after split listing?"
28/02/1987,31/08/1990,Crocodylus porosus,8560,SPECIES,SG, ,
21/04/1983,17/08/1987,Crocodylus porosus,8560,SPECIES,TH, ,
01/08/1985,06/01/1989,Falco jugger,8607,SPECIES,AT, ,
10/06/1996,,Falco jugger,8607,SPECIES,SA, ,
01/01/1986,06/01/1989,Caperea marginata,8608,SPECIES,AT, ,
01/01/1986,07/05/1991,Caperea marginata,8608,SPECIES,BR, ,
01/01/1986,24/10/2001,Caperea marginata,8608,SPECIES,PE, ,
22/10/1987,12/06/2014,Catagonus wagneri,8725,SPECIES,CH, ,
22/10/1987,12/06/2014,Catagonus wagneri,8725,SPECIES,LI, ,
29/07/1983,06/01/1989,Struthio camelus,8790,SPECIES,AT, ,
31/10/1976,07/03/1978,Sphenodon punctatus,8898,SPECIES,GB,On behalf of HK. ,
31/10/1976,07/03/1978,Epicrates subflavus,8915,SPECIES,GB,On behalf of HK. ,
31/10/1976,03/07/1978,Melanochelys tricarinata,8918,SPECIES,GB,On behalf of HK. ,
18/03/1991,,Acinonyx jubatus,8935,SPECIES,NA, ,
28/06/1979,12/06/2014,Chlamydotis macqueenii,9020,SPECIES,CH, ,
29/07/1983,06/01/1989,Berardius bairdii,9048,SPECIES,AT, ,
29/07/1983,,Berardius bairdii,9048,SPECIES,JP, ,
29/07/1983,26/04/1995,Berardius bairdii,9048,SPECIES,RU,Original reservation as USSR. ,
31/10/1976,07/03/1978,Crocodylus siamensis,9073,SPECIES,GB,On behalf of HK. ,
21/04/1983,17/08/1987,Crocodylus siamensis,9073,SPECIES,TH, ,
28/06/1979,12/06/2014,Prionailurus rubiginosus,9151,SPECIES,CH, ,
12/01/2005,,Orcaella brevirostris,9382,SPECIES,JP, ,
31/10/1976,07/03/1978,Varanus griseus,9436,SPECIES,GB,On behalf of HK. ,
04/11/1980,22/10/1987,Varanus griseus,9436,SPECIES,JP, ,
10/06/1996,,Falco newtoni,9441,SPECIES,SA, ,
04/02/1977,27/08/1981,Balaenoptera physalus,9445,SPECIES,AU, ,
04/02/1977,29/10/1982,Balaenoptera physalus,9445,SPECIES,CA, ,
02/04/2000,,Balaenoptera physalus,9445,SPECIES,IS, ,
