taxon_concept_id,Rank,GEO_entity_type,ISO Code 2,Designation,Tags
8893,SPECIES,TERRITORY,AS,CITES_EU,"extinct, reintroduced"
11215,SPECIES,TERRITORY,AS,CITES_EU,introduced
10712,SPECIES,TERRITORY,AS,CITES_EU,introduced
8327,SPECIES,TERRITORY,IO,CITES_EU,distribution uncertain
6732,SPECIES,TERRITORY,IO,CITES_EU,distribution uncertain
10712,SPECIES,COUNTRY,KH,CITES_EU,distribution uncertain
10712,SPECIES,COUNTRY,CN,CITES_EU,extinct
10712,SPECIES,TERRITORY,CX,CITES_EU,extinct
68361,SPECIES,TERRITORY,CX,CITES_EU,distribution uncertain
10712,SPECIES,TERRITORY,CC,CITES_EU,extinct
6732,SPECIES,TERRITORY,CC,CITES_EU,extinct
8893,SPECIES,COUNTRY,CK,CITES_EU,introduced
11215,SPECIES,COUNTRY,CK,CITES_EU,introduced
10712,SPECIES,COUNTRY,CK,CITES_EU,introduced
10712,SPECIES,COUNTRY,ER,CITES_EU,distribution uncertain
8893,SPECIES,COUNTRY,FJ,CITES_EU,"extinct, reintroduced"
10712,SPECIES,COUNTRY,FJ,CITES_EU,"reintroduced, extinct"
8893,SPECIES,TERRITORY,GU,CITES_EU,extinct
10712,SPECIES,TERRITORY,GU,CITES_EU,extinct
8327,SPECIES,TERRITORY,HK,CITES_EU,extinct
8893,SPECIES,COUNTRY,IN,CITES_EU,distribution uncertain
10712,SPECIES,COUNTRY,IN,CITES_EU,distribution uncertain
8327,SPECIES,COUNTRY,IL,CITES_EU,distribution uncertain
6732,SPECIES,COUNTRY,IL,CITES_EU,distribution uncertain
10712,SPECIES,COUNTRY,MG,CITES_EU,distribution uncertain
10712,SPECIES,COUNTRY,MU,CITES_EU,distribution uncertain
8893,SPECIES,COUNTRY,FM,CITES_EU,"extinct, reintroduced"
11215,SPECIES,COUNTRY,FM,CITES_EU,introduced
10712,SPECIES,COUNTRY,FM,CITES_EU,"extinct, reintroduced"
8327,SPECIES,COUNTRY,NR,CITES_EU,distribution uncertain
10712,SPECIES,TERRITORY,NC,CITES_EU,extinct
8893,SPECIES,TERRITORY,MP,CITES_EU,"extinct, reintroduced"
10712,SPECIES,TERRITORY,MP,CITES_EU,"extinct, reintroduced"
8893,SPECIES,COUNTRY,WS,CITES_EU,"extinct, reintroduced"
11215,SPECIES,COUNTRY,WS,CITES_EU,introduced
10712,SPECIES,COUNTRY,WS,CITES_EU,introduced
8893,SPECIES,COUNTRY,SG,CITES_EU,extinct
10712,SPECIES,COUNTRY,SG,CITES_EU,extinct
11215,SPECIES,TERRITORY,TW,CITES_EU,extinct
8893,SPECIES,COUNTRY,TO,CITES_EU,"reintroduced, extinct"
11215,SPECIES,COUNTRY,VU,CITES_EU,extinct
10712,SPECIES,COUNTRY,VU,CITES_EU,"extinct, reintroduced"
6834,SPECIES,TERRITORY,SH,CITES_EU,distribution uncertain
4277,SPECIES,COUNTRY,BR,CITES_EU,introduced
99557,SPECIES,COUNTRY,GH,CITES_EU,extinct
99577,SPECIES,COUNTRY,DK,CITES_EU,extinct
99558,SPECIES,COUNTRY,AU,CITES_EU,introduced
99558,SPECIES,COUNTRY,NZ,CITES_EU,introduced
99559,SPECIES,COUNTRY,AU,CITES_EU,introduced
99559,SPECIES,COUNTRY,NZ,CITES_EU,introduced
99579,SPECIES,COUNTRY,AU,CITES_EU,introduced
99579,SPECIES,COUNTRY,CA,CITES_EU,introduced
99579,SPECIES,COUNTRY,NZ,CITES_EU,introduced
99579,SPECIES,COUNTRY,US,CITES_EU,introduced
