"Name","Effective from","End Date"
"No 750/2013 ","10/08/2013",
"No 1158/2012 ","15/12/2012","10/08/2013"
"No 101/2012 ","14/02/2012","15/12/2012"
"No 709/2010 ","15/08/2010","14/02/2012"
"No 407/2009 ","22/05/2009","15/08/2010"
"No 318/2008 ","11/04/2008","22/05/2009"
"No 1332/2005 ","22/08/2005","11/04/2008"
"No 834/2004 ","20/05/2004","22/08/2005"
"No 1497/2003 ","30/08/2003","22/08/2005"
"No 2476/2001 ","21/12/2001","30/08/2003"
"No 1808/2001 ","22/09/2001","30/08/2003"
"No 1579/2001 ","05/08/2001","30/08/2003"
"No 2724/2000 ","18/12/2000","30/08/2003"
"No 1476/1999 ","29/04/1999","18/12/2000"
"No 2214/98 ","19/10/1998","18/12/2000"
"No 2307/97 ","27/11/1997","18/12/2000"
"No 338/97 ","01/06/1997","18/12/2000"
"No 938/97 ","01/06/1997","18/12/2000"
"No 3626/82 ","31/12/1982","01/06/1997"
