Appendix,SpeciesName,TermCode,Quantity,UnitCode,TradingPartner,CountryOfOrigin,ImportPermit,ExportPermit,OriginPermit,PurposeCode,SourceCode,Year
II,Acipenser baerii,COV,6,KIL,FR,,,FR1007533178-E,,T,C,2010
II,Acipenser baerii,CAV,0.2,KIL,FR,CN,,FR1107539121-R,,T,F,2011
II,Acipenser gueldenstaedtii,CAV,0.7,KIL,FR,CN,,FR1007533189-R,,T,C,2010
II,Acipenser gueldenstaedtii,CAV,0.3,KIL,FR,,,FR1107528146-E,,T,C,2011
II,Acipenser gueldenstaedtii,CAV,0.3,KIL,FR,,,FR1107513439-R,,T,C,2011
II,Acipenser transmontanus,CAV,1.4,KIL,FR,,,FR1007533200-R,,T,C,2010
II,Acipenser transmontanus,CAV,5.576,KIL,FR,US,,FR1007533198-R,,T,C,2010
II,Acipenser transmontanus,CAV,0.5,KIL,FR,US,,FR1007533201-R,,T,C,2010
II,Acipenser transmontanus,CAV,7.525,KIL,FR,US,,FR1007533198-R,,T,C,2010
II,Acipenser transmontanus,CAV,0.8,KIL,FR,US,,FR1107513439-R,10US 18890A/9,T,C,2011
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
